chebi_id	wikidata_id
CHEBI:2364	Q27105641
CHEBI:2365	Q332211
CHEBI:2366	Q332313
CHEBI:2367	Q27105642
CHEBI:2368	Q27105643
CHEBI:2369	Q27105644
CHEBI:2372	Q27105645
CHEBI:2373	Q27105648
CHEBI:2374	Q27105649
CHEBI:2375	Q27105650
CHEBI:2379	Q418857
CHEBI:2380	Q27105651
CHEBI:2382	Q27105652
CHEBI:2393	Q40208671
CHEBI:2394	Q419732
CHEBI:2401	Q4673284
CHEBI:2402	Q27105654
CHEBI:2404	Q906309
CHEBI:2411	Q27105655
CHEBI:2412	Q27105656
CHEBI:2413	Q23889677
CHEBI:2414	Q27105657
CHEBI:2415	Q27105658
CHEBI:2417	Q27105659
CHEBI:2422	Q4678005
CHEBI:2423	Q27096777
CHEBI:2424	Q27105660
CHEBI:2425	Q27105661
CHEBI:2429	Q27105662
CHEBI:2430	Q342108
CHEBI:2431	Q27105663
CHEBI:2433	Q27105664
CHEBI:2435	Q27105665
CHEBI:2436	Q27105666
CHEBI:2437	Q15633955
CHEBI:2438	Q27105667
CHEBI:2439	Q27105668
CHEBI:2440	Q27105669
CHEBI:2443	Q343309
CHEBI:2444	Q27105670
CHEBI:2448	Q4676996
CHEBI:2450	Q27105671
CHEBI:2451	Q27105672
CHEBI:2452	Q27105673
CHEBI:2453	Q147101
CHEBI:2468	Q345024
CHEBI:2469	Q353551
CHEBI:2471	Q27105674
CHEBI:2479	Q27105675
CHEBI:2480	Q27105676
CHEBI:2481	Q27105677
CHEBI:2482	Q27105678
CHEBI:2483	Q27105679
CHEBI:2485	Q27105680
CHEBI:2487	Q27105683
CHEBI:2488	Q27105684
CHEBI:2490	Q27105685
CHEBI:2492	Q27105686
CHEBI:2493	Q27105687
CHEBI:2494	Q27105688
CHEBI:2495	Q4684756
CHEBI:2497	Q27105689
CHEBI:2500	Q27895506
CHEBI:2501	Q381935
CHEBI:2502	Q15410234
CHEBI:2503	Q15634128
CHEBI:2504	Q4689278
CHEBI:2505	Q27105692
CHEBI:2506	Q27105693
CHEBI:2507	Q23068576
CHEBI:2508	Q27105694
CHEBI:2509	Q177998
CHEBI:2511	Q390697
CHEBI:2512	Q27105695
CHEBI:2513	Q27105696
CHEBI:2515	Q16826128
CHEBI:2516	Q27105697
CHEBI:2518	Q27105699
CHEBI:2519	Q4694226
CHEBI:2520	Q27105700
CHEBI:2521	Q27105701
CHEBI:2522	Q13923477
CHEBI:2523	Q27105702
CHEBI:2524	Q412957
CHEBI:2527	Q27105704
CHEBI:2528	Q27105705
CHEBI:2529	Q27105707
CHEBI:2531	Q27105708
CHEBI:2532	Q4701917
CHEBI:2533	Q421204
CHEBI:2534	Q27105710
CHEBI:2535	Q27105711
CHEBI:2536	Q27105712
CHEBI:2537	Q27105713
CHEBI:2538	Q27105714
CHEBI:2540	Q21099633
CHEBI:2542	Q27105715
CHEBI:2543	Q27105716
CHEBI:2544	Q27105717
CHEBI:2547	Q5663741
CHEBI:2548	Q27105719
CHEBI:2549	Q410358
CHEBI:2550	Q27231480
CHEBI:2551	Q15410231
CHEBI:2552	Q27105720
CHEBI:2555	Q417435
CHEBI:2555	Q63088093
CHEBI:2559	Q71145876
CHEBI:2560	Q15711205
CHEBI:2564	Q409054
CHEBI:2564	Q63398891
CHEBI:2565	Q27105721
CHEBI:2566	Q27105722
CHEBI:2567	Q420057
CHEBI:2568	Q27105723
CHEBI:2569	Q176533
CHEBI:2571	Q73035109
CHEBI:2575	Q27105724
CHEBI:2578	Q418237
CHEBI:2579	Q27105725
CHEBI:2580	Q72182580
CHEBI:2592	Q27105726
CHEBI:2596	Q57741566
CHEBI:2598	Q27105727
CHEBI:2599	Q27105729
CHEBI:2600	Q27105730
CHEBI:2606	Q4734066
CHEBI:2607	Q3533249
CHEBI:2608	Q27105732
CHEBI:2609	Q27105733
CHEBI:2610	Q27105734
CHEBI:2611	Q319877
